,blk,date,pow_hashrate_THs,pow_diff
0,144.0,,0.0,32767.74999809
1,288.0,,0.0,32767.74999809
2,432.0,2016-02-08 00:00:00+00:00,0.0,54638.34516449
3,576.0,2016-02-08 00:00:00+00:00,0.0,126603.63636364
4,720.0,2016-02-09 00:00:00+00:00,0.0,258564.37673112
5,864.0,2016-02-10 00:00:00+00:00,0.0,221498.05315696
6,1008.0,2016-02-10 00:00:00+00:00,0.0,163557.62187443
7,1152.0,2016-02-11 00:00:00+00:00,0.0,128034.03666716
8,1296.0,2016-02-11 00:00:00+00:00,0.0,127824.45714286
9,1440.0,2016-02-11 00:00:00+00:00,0.0,143138.73411651
10,1584.0,2016-02-12 00:00:00+00:00,24.0,169527.16125555
11,1728.0,2016-02-12 00:00:00+00:00,0.0,225370.14592247
12,1872.0,2016-02-13 00:00:00+00:00,0.0,241217.48168208
13,2016.0,2016-02-13 00:00:00+00:00,0.0,222194.91011825
14,2160.0,2016-02-14 00:00:00+00:00,0.0,196710.35951201
15,2304.0,2016-02-15 00:00:00+00:00,0.0,157428.43781719
16,2448.0,2016-02-15 00:00:00+00:00,0.0,146147.09532251
17,2592.0,2016-02-15 00:00:00+00:00,0.0,157819.79587109
18,2736.0,2016-02-16 00:00:00+00:00,0.0,187656.21673396
19,2880.0,2016-02-16 00:00:00+00:00,0.0,251608.48268047
20,3024.0,2016-02-17 00:00:00+00:00,0.0,289210.22500635
21,3168.0,2016-02-17 00:00:00+00:00,0.0,275306.77018951
22,3312.0,2016-02-18 00:00:00+00:00,0.0,265194.06304051
23,3456.0,2016-02-18 00:00:00+00:00,0.0,253863.11289584
24,3600.0,2016-02-19 00:00:00+00:00,0.0,233337.48240092
25,3744.0,2016-02-19 00:00:00+00:00,33.0,213490.58065438
26,3888.0,2016-02-20 00:00:00+00:00,0.0,219891.36187088
27,4032.0,2016-02-20 00:00:00+00:00,0.0,242470.01926538
28,4176.0,2016-02-21 00:00:00+00:00,0.0,279466.18038222
29,4320.0,2016-02-21 00:00:00+00:00,0.0,258581.70751273
30,4464.0,2016-02-22 00:00:00+00:00,0.0,224487.44866523
31,4608.0,2016-02-22 00:00:00+00:00,0.0,207767.3513592
32,4752.0,2016-02-23 00:00:00+00:00,33.0,201084.27831072
33,4896.0,2016-02-23 00:00:00+00:00,0.0,242041.61474543
34,5040.0,2016-02-24 00:00:00+00:00,0.0,293780.0763431
35,5184.0,2016-02-24 00:00:00+00:00,0.0,303707.13671194
36,5328.0,2016-02-25 00:00:00+00:00,0.0,305948.77693934
37,5472.0,2016-02-25 00:00:00+00:00,28.0,311988.22144883
38,5616.0,2016-02-26 00:00:00+00:00,0.0,292963.39673931
39,5760.0,2016-02-26 00:00:00+00:00,0.0,261968.67715801
40,5904.0,2016-02-27 00:00:00+00:00,0.0,247201.81757927
41,6048.0,2016-02-27 00:00:00+00:00,0.0,250946.92694363
42,6192.0,2016-02-28 00:00:00+00:00,0.0,267765.08515919
43,6336.0,2016-02-28 00:00:00+00:00,0.0,265166.68935125
44,6480.0,2016-02-29 00:00:00+00:00,0.0,256589.04873278
45,6624.0,2016-02-29 00:00:00+00:00,0.0,269060.72298509
46,6768.0,2016-03-01 00:00:00+00:00,0.0,276624.46890369
47,6912.0,2016-03-01 00:00:00+00:00,0.0,273691.84283966
48,7056.0,2016-03-02 00:00:00+00:00,0.0,257004.69051769
49,7200.0,2016-03-02 00:00:00+00:00,0.0,256874.09525576
50,7344.0,2016-03-03 00:00:00+00:00,0.0,283465.55356867
51,7488.0,2016-03-03 00:00:00+00:00,0.0,267214.73704318
52,7632.0,2016-03-04 00:00:00+00:00,0.0,254868.8643273
53,7776.0,2016-03-04 00:00:00+00:00,0.0,256392.31368855
54,7920.0,2016-03-05 00:00:00+00:00,0.0,260681.74239118
55,8064.0,2016-03-05 00:00:00+00:00,0.0,253467.43707604
56,8208.0,2016-03-06 00:00:00+00:00,27.0,254570.68243322
57,8352.0,2016-03-06 00:00:00+00:00,0.0,267780.67127412
58,8496.0,2016-03-07 00:00:00+00:00,0.0,273342.85597511
59,8640.0,2016-03-07 00:00:00+00:00,0.0,267044.04791611
60,8784.0,2016-03-08 00:00:00+00:00,0.0,271525.59836792
61,8928.0,2016-03-08 00:00:00+00:00,0.0,252938.73874653
62,9072.0,2016-03-09 00:00:00+00:00,30.0,245968.26056337
63,9216.0,2016-03-09 00:00:00+00:00,0.0,255815.28225085
64,9360.0,2016-03-10 00:00:00+00:00,0.0,278438.06795744
65,9504.0,2016-03-10 00:00:00+00:00,0.0,323852.13851216
66,9648.0,2016-03-11 00:00:00+00:00,0.0,318119.2397392
67,9792.0,2016-03-11 00:00:00+00:00,0.0,293672.02612211
68,9936.0,2016-03-12 00:00:00+00:00,0.0,277521.05536741
69,10080.0,2016-03-12 00:00:00+00:00,0.0,282993.86793815
70,10224.0,2016-03-13 00:00:00+00:00,0.0,267549.21835112
71,10368.0,2016-03-13 00:00:00+00:00,0.0,249593.0559822
72,10512.0,2016-03-14 00:00:00+00:00,0.0,261970.30001994
73,10656.0,2016-03-14 00:00:00+00:00,0.0,266850.3887151
74,10800.0,2016-03-15 00:00:00+00:00,0.0,286618.55272985
75,10944.0,2016-03-15 00:00:00+00:00,0.0,297472.63429958
76,11088.0,2016-03-16 00:00:00+00:00,0.0,277925.4030468
77,11232.0,2016-03-16 00:00:00+00:00,0.0,258712.523406
78,11376.0,2016-03-17 00:00:00+00:00,0.0,249929.72624213
79,11520.0,2016-03-17 00:00:00+00:00,32.0,263446.33278591
80,11664.0,2016-03-18 00:00:00+00:00,0.0,289271.40113515
81,11808.0,2016-03-18 00:00:00+00:00,0.0,321837.9095981
82,11952.0,2016-03-19 00:00:00+00:00,0.0,334563.62765435
83,12096.0,2016-03-19 00:00:00+00:00,0.0,331073.52653825
84,12240.0,2016-03-20 00:00:00+00:00,28.0,339146.35600571
85,12384.0,2016-03-20 00:00:00+00:00,0.0,296522.28581322
86,12528.0,2016-03-21 00:00:00+00:00,0.0,280528.75147664
87,12672.0,2016-03-21 00:00:00+00:00,0.0,267093.93407522
88,12816.0,2016-03-22 00:00:00+00:00,0.0,269870.9131203
89,12960.0,2016-03-22 00:00:00+00:00,0.0,278888.09763945
90,13104.0,2016-03-23 00:00:00+00:00,26.0,329507.05291048
91,13248.0,2016-03-23 00:00:00+00:00,0.0,318668.57372901
92,13392.0,2016-03-24 00:00:00+00:00,0.0,300357.54887423
93,13536.0,2016-03-24 00:00:00+00:00,0.0,287663.59568359
94,13680.0,2016-03-25 00:00:00+00:00,0.0,286112.72101888
95,13824.0,2016-03-25 00:00:00+00:00,0.0,278743.57943925
96,13968.0,2016-03-26 00:00:00+00:00,0.0,299705.43153832
97,14112.0,2016-03-26 00:00:00+00:00,0.0,320478.99535558
98,14256.0,2016-03-27 00:00:00+00:00,0.0,336073.95635022
99,14400.0,2016-03-27 00:00:00+00:00,0.0,344236.07741231
