date,blk,pow_hashrate_THs
03-01-09 0:00,0,4.97E-08
09-01-09 0:00,19,6.96E-07
12-01-09 0:00,267,4.42E-06
15-01-09 0:00,645,6.31E-06
18-01-09 0:00,969,5.02E-06
21-01-09 0:00,1300,5.62E-06
24-01-09 0:00,1676,9.89E-06
27-01-09 0:00,2060,5.12E-06
30-01-09 0:00,2410,6.01E-06
02-02-09 0:00,2789,6.31E-06
05-02-09 0:00,3173,6.01E-06
08-02-09 0:00,3556,6.66E-06
11-02-09 0:00,3943,6.51E-06
14-02-09 0:00,4322,7.01E-06
17-02-09 0:00,4689,5.87E-06
20-02-09 0:00,5053,6.36E-06
23-02-09 0:00,5396,5.32E-06
26-02-09 0:00,5714,4.77E-06
01-03-09 0:00,6033,5.27E-06
04-03-09 0:00,6350,5.27E-06
07-03-09 0:00,6688,5.52E-06
10-03-09 0:00,7018,5.22E-06
13-03-09 0:00,7363,5.67E-06
16-03-09 0:00,7717,6.46E-06
19-03-09 0:00,8067,6.06E-06
22-03-09 0:00,8354,4.72E-06
25-03-09 0:00,8706,5.77E-06
28-03-09 0:00,9048,5.92E-06
31-03-09 0:00,9394,5.62E-06
03-04-09 0:00,9739,5.62E-06
06-04-09 0:00,10091,5.72E-06
09-04-09 0:00,10395,4.92E-06
12-04-09 0:00,10741,5.72E-06
15-04-09 0:00,11093,5.57E-06
18-04-09 0:00,11454,6.06E-06
21-04-09 0:00,11815,6.11E-06
24-04-09 0:00,12126,5.62E-06
27-04-09 0:00,12460,5.22E-06
30-04-09 0:00,12836,6.56E-06
03-05-09 0:00,13189,5.67E-06
06-05-09 0:00,13587,6.81E-06
09-05-09 0:00,13894,4.52E-06
12-05-09 0:00,14229,6.31E-06
15-05-09 0:00,14615,7.11E-06
18-05-09 0:00,14979,6.16E-06
21-05-09 0:00,15267,4.42E-06
24-05-09 0:00,15460,4.77E-06
27-05-09 0:00,15813,6.21E-06
30-05-09 0:00,16123,5.12E-06
02-06-09 0:00,16401,4.42E-06
05-06-09 0:00,16568,2.83E-06
08-06-09 0:00,16694,3.58E-06
11-06-09 0:00,16956,4.62E-06
14-06-09 0:00,17192,3.48E-06
17-06-09 0:00,17426,3.83E-06
20-06-09 0:00,17671,4.18E-06
23-06-09 0:00,17904,3.78E-06
26-06-09 0:00,18157,4.42E-06
29-06-09 0:00,18370,3.78E-06
02-07-09 0:00,18612,3.58E-06
05-07-09 0:00,18862,3.98E-06
08-07-09 0:00,19089,3.93E-06
11-07-09 0:00,19339,4.18E-06
14-07-09 0:00,19563,3.58E-06
17-07-09 0:00,19726,3.23E-06
20-07-09 0:00,19870,3.73E-06
23-07-09 0:00,20088,3.28E-06
26-07-09 0:00,20214,6.46E-07
29-07-09 0:00,20348,1.59E-06
01-08-09 0:00,20408,1.14E-06
04-08-09 0:00,20524,2.88E-06
07-08-09 0:00,20781,3.68E-06
10-08-09 0:00,21037,4.08E-06
13-08-09 0:00,21255,4.03E-06
16-08-09 0:00,21363,1.24E-06
19-08-09 0:00,21408,7.46E-07
22-08-09 0:00,21451,3.98E-07
25-08-09 0:00,21531,2.73E-06
28-08-09 0:00,21683,3.18E-06
31-08-09 0:00,21944,4.67E-06
03-09-09 0:00,22149,2.98E-06
06-09-09 0:00,22357,3.58E-06
09-09-09 0:00,22558,2.88E-06
12-09-09 0:00,22761,3.53E-06
15-09-09 0:00,22954,2.78E-06
18-09-09 0:00,23188,4.03E-06
21-09-09 0:00,23409,3.68E-06
24-09-09 0:00,23567,4.08E-06
27-09-09 0:00,23845,4.42E-06
30-09-09 0:00,24103,4.32E-06
03-10-09 0:00,24315,2.88E-06
06-10-09 0:00,24466,2.04E-06
09-10-09 0:00,24675,3.88E-06
12-10-09 0:00,24884,3.08E-06
15-10-09 0:00,25081,4.23E-06
18-10-09 0:00,25272,3.18E-06
21-10-09 0:00,25559,4.13E-06
24-10-09 0:00,25800,3.73E-06
27-10-09 0:00,26011,3.28E-06
30-10-09 0:00,26183,3.03E-06
02-11-09 0:00,26287,1.64E-06
05-11-09 0:00,26469,3.18E-06
08-11-09 0:00,26673,3.48E-06
11-11-09 0:00,26879,3.43E-06
14-11-09 0:00,27104,4.13E-06
17-11-09 0:00,27389,4.52E-06
20-11-09 0:00,27624,4.08E-06
23-11-09 0:00,27899,4.77E-06
26-11-09 0:00,28166,3.88E-06
29-11-09 0:00,28371,2.88E-06
02-12-09 0:00,28613,4.87E-06
05-12-09 0:00,28801,2.58E-06
08-12-09 0:00,29121,5.92E-06
11-12-09 0:00,29433,6.21E-06
14-12-09 0:00,29759,5.37E-06
17-12-09 0:00,30174,8.00E-06
20-12-09 0:00,30772,8.70E-06
23-12-09 0:00,31263,8.40E-06
26-12-09 0:00,31740,7.90E-06
29-12-09 0:00,32215,8.15E-06
01-01-10 0:00,32626,7.00E-06
04-01-10 0:00,33119,1.12E-05
07-01-10 0:00,33634,9.35E-06
10-01-10 0:00,34128,1.12E-05
13-01-10 0:00,34610,1.03E-05
16-01-10 0:00,35019,8.69E-06
19-01-10 0:00,35399,7.72E-06
22-01-10 0:00,35865,9.73E-06
25-01-10 0:00,36390,1.36E-05
28-01-10 0:00,36926,1.16E-05
31-01-10 0:00,37498,1.38E-05
03-02-10 0:00,38097,1.62E-05
06-02-10 0:00,38741,1.73E-05
09-02-10 0:00,39365,1.89E-05
12-02-10 0:00,39885,1.69E-05
15-02-10 0:00,40501,2.32E-05
18-02-10 0:00,41143,2.88E-05
